Original Name,Column_Prefix,Column_Suffix,New_Name_Formula,New_Name
record - Record number,ID,,ID,ID
"Q1r1 - To begin, what is your age?",age,,age,age
Q4 - What is your gender?,gender,,gender,gender
age - you are...,age,range,age_range,age_range
Q2 - In which state do you currently reside?,state,,state,state
region - Region,region,,region,region
QNEW3 - What is your employment status?,employment,status,employment_status,employment_status
Q5 - Which category best describes your ethnicity?,ethnicity,,ethnicity,ethnicity
QNEW1 - Do you have children living in your home (excluding yourself if you are under 18)?,children,,children,children
QNEW2 - How old are the children in your home?-0-4 years,children,0-4,children_0-4,children_0-4
QNEW2 - How old are the children in your home?-5-9 years,children,5-9,children_5-9,children_5-9
QNEW2 - How old are the children in your home?-10-13 years,children,10-13,children_10-13,children_10-13
QNEW2 - How old are the children in your home?-14-18 years,children,14-18,children_14-18,children_14-18
QNEW2 - How old are the children in your home?-19-25 years,children,19-25,children_19-25,children_19-25
QNEW2 - How old are the children in your home?-26+ years,children,26-over,children_26-over,children_26-over
QNEW2 - How old are the children in your home?-Don't Know,children,unknown,children_unknown,children_unknown
"Q6 - Into which of the following categories does your total annual household income fall before taxes? Again, we promise to keep this, and all your answers, completely confidential.",income,,income,income
Q8 - Which of the following media or home entertainment equipment does your household own?-Flat panel television,home_entertainment_equipment,flat_panel_tv,home_entertainment_equipment_flat_panel_tv,home_entertainment_equipment_flat_panel_tv
Q8 - Which of the following media or home entertainment equipment does your household own?-Digital video recorder (DVR),home_entertainment_equipment,dvr,home_entertainment_equipment_dvr,home_entertainment_equipment_dvr
Q8 - Which of the following media or home entertainment equipment does your household own?-Streaming media box or over-the-top box,home_entertainment_equipment,streaming_box,home_entertainment_equipment_streaming_box,home_entertainment_equipment_streaming_box
Q8 - Which of the following media or home entertainment equipment does your household own?-Portable streaming thumb drive/fob,home_entertainment_equipment,streaming_fob,home_entertainment_equipment_streaming_fob,home_entertainment_equipment_streaming_fob
Q8 - Which of the following media or home entertainment equipment does your household own?-Over-the-air digital TV antenna (for free access to network broadcast without pay TV subscription),home_entertainment_equipment,tv_antenna,home_entertainment_equipment_tv_antenna,home_entertainment_equipment_tv_antenna
Q8 - Which of the following media or home entertainment equipment does your household own?-Blu-ray disc player/DVD player,home_entertainment_equipment,bluray_dvd_player,home_entertainment_equipment_bluray_dvd_player,home_entertainment_equipment_bluray_dvd_player
Q8 - Which of the following media or home entertainment equipment does your household own?-Gaming console,home_entertainment_equipment,gaming_console,home_entertainment_equipment_gaming_console,home_entertainment_equipment_gaming_console
Q8 - Which of the following media or home entertainment equipment does your household own?-Portable video game player,home_entertainment_equipment,portable_game_console,home_entertainment_equipment_portable_game_console,home_entertainment_equipment_portable_game_console
Q8 - Which of the following media or home entertainment equipment does your household own?-Computer network/router in your home for wireless computer/laptop usage,home_entertainment_equipment,router,home_entertainment_equipment_router,home_entertainment_equipment_router
Q8 - Which of the following media or home entertainment equipment does your household own?-Desktop computer,home_entertainment_equipment,desktop,home_entertainment_equipment_desktop,home_entertainment_equipment_desktop
Q8 - Which of the following media or home entertainment equipment does your household own?-Laptop computer,home_entertainment_equipment,laptop,home_entertainment_equipment_laptop,home_entertainment_equipment_laptop
Q8 - Which of the following media or home entertainment equipment does your household own?-Tablet,home_entertainment_equipment,tablet,home_entertainment_equipment_tablet,home_entertainment_equipment_tablet
